DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED
007ys7Mbf0NSOTAOU2Gs,Testing Purposes,published,pro,ChIJIcEOcgsyyIcRdcrrXxtVdGg,67.461524&-152.801377,2024-05-09T18:15:00.000Z,60,12,public,false,,,f2LrY7SAV3U1V9tUVAZfiMxA3uu1,0,10,0,0,0,0,0
00dturjCCISByGrbVFjG,Massilia FIVE,played,captain,ChIJxZ6UmMW-yRIR7ot5DChYj4w,43.28920790000001&5.4503802,2024-05-21T20:00:00.000Z,60,10,public,true,Détente,3,S90i570forcZEIdOz4MtOtMcPfj2,10,10,2,0,0,0,0
01v4aRwbmEWrj3LF9McC,Foot-Max Argenteuil,published,pro,ChIJi9oIzaRm5kcRJYcK7QsdRMU,48.9501632&2.2093946,2024-04-27T17:00:00.000Z,90,12,public,false,,,SuEnyPZ4TgNIkt1yap2yJ3ZHO6p1,0,10,0,0,0,0,0
02vS8VM8hVvL0e0q5Bn2,UrbanSoccer - Quai d'Ivry,played,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199885&2.3936463,2024-04-26T15:30:00.000Z,90,10,public,true,Compétition,3,rUzkBHpIJ1YFV4MRQjyiYHl4QMX2,10,10,2,0,0,0,1
0391huTFm65PKSs1scOa,LE FIVE Orléans Fleury,published,pro,ChIJsYfwe3n75EcRnjpH9sw356Q,47.9415754&1.9358176,2024-04-25T20:30:00.000Z,60,9.5,public,false,,,aK807pAjR0fYf1xp6STGgehCREy2,0,10,0,0,0,0,0
05Z2SGTkduPsTe6nlvAb,LE FIVE OL,published,pro,ChIJmz3whejH9EcR3j9ApNRukKE,45.7673403&4.9802325,2024-05-07T10:30:00.000Z,60,8,public,false,,,CtMIzMx3atVuH1nKNOJj6lNQL4A2,0,10,0,0,0,0,0
05fD9iRKjm2AQMyCMICf,UrbanSoccer - Quai d'Ivry,published,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199885&2.3936463,2024-04-29T16:45:00.000Z,90,16,public,true,Détente,3,TY7ytk4BQfVimi7yMC5Y1UlOeUN2,9,10,0,0,0,0,0
06HeXFqfqnMdCmLjvNnK,Parc départemental des sports de Marville,played,captain,ChIJb7v1Kghs5kcRlOK5J2yhoCk,48.9370153&2.3847308,2024-05-03T18:15:00.000Z,60,,public,false,Compétition,5,TqJikCMNk7g6G41akWSnSlt3AYg1,14,14,6,0,0,0,3
06u61h9Ryj8NBfRvWw82,Stadium Thiais,played,pro,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-05-19T09:30:00.000Z,90,15,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,10,10,6,0,0,0,2
093bxWgJ0v4hhvBWHHfi,Le Mercato FOOT INDOOR,published,captain,ChIJzRK7HJy_yRIRqEreyEiAfC0,43.3426654&5.4084961,2024-05-07T22:00:00.000Z,90,9,public,false,Détente,1,6rsPXu3BZvY5CvpPgR5kb5M4ECf2,7,10,0,0,0,0,0
09HOjPxwivlH8fCq3xxL,LE FIVE Villette,played,captain,ChIJTUFnQjps5kcR0pHITLTw1PI,48.9070122&2.3861459,2024-05-05T19:00:00.000Z,60,10,public,true,Détente,2,SmIPWtEa7BUsB02SCYguaitUQbf1,10,10,4,0,0,0,1
09N5kYECNCbEeIA43QNG,Gymnase Japy,published,captain,ChIJjSwEGPZt5kcRwOzDxHPp9SQ,48.8558774&2.382071,2024-05-10T20:20:00.000Z,90,,public,false,Détente,2,sgmm97JfJjgOWshajgH27IMGR153,9,10,0,0,0,0,2
09YW8hzWXQXx6ySCkqLY,Stadium Thiais,played,pro,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-05-05T12:30:00.000Z,90,15,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,10,10,6,0,0,1,2
09aeimPxR5cPQnY9Kj2S,UrbanSoccer - Toulouse Montaudran,canceled,captain,ChIJl772e0u8rhIR2foRX4Xa2CI,43.574642&1.4801835,2024-04-27T15:30:00.000Z,60,8.5,public,true,Compétition,2,fThns5OCJdbAOxzicDGVtsNXTo22,7,10,0,0,0,0,2
09vjPLFsVDuVe40uV7pQ,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-05-05T14:30:00.000Z,60,13,public,true,Détente,2,n2w3QsqUZ1S3n8IYsQHwistmExm1,10,10,4,0,0,0,3
0AxSYwskLJL0OT27WLut,LE FIVE Paris 18,played,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-04-27T11:30:00.000Z,90,7.5,public,true,Détente,2,BXLR3v3zSQQlwrAOhV0x8tXtaMO2,10,10,6,0,0,0,4
