DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED
08Np2EEXEHjhMhmzBTVI,LE FIVE Villette,published,captain,ChIJTUFnQjps5kcR0pHITLTw1PI,48.9070122&2.3861459,2024-02-20T21:00:00.000Z,60,12,public,false,Détente,3,jksmqX3GNoNUbwisiQn5lc58sUE2,8,10,0,0,0,0,0
08W0LADJ4wauu89kNGI4,Stade Des Courtilles,canceled,captain,ChIJ83HS9ldv5kcR-plMKkHPNTA,48.929137&2.2834726,2024-02-20T17:30:00.000Z,120,,public,false,,4,OUDonTRM5JTwDDmUMOikuN6wCKz1,7,14,0,0,0,0,0
094U8qF1YeG0JgK0IvRf,UrbanSoccer La Défense,canceled,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-02-20T17:30:00.000Z,90,22.5,public,true,Détente,2,SLO1tgT1KXPgnCIgq3IVJlkgpZu1,9,10,0,0,0,0,0
0Iw4TmfrCmDNn5ZZ7xf0,Stadium Thiais,published,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511137&2.3715422,2024-02-20T16:00:00.000Z,120,10,public,false,Détente,3,Dohg1zNvhsbmGrYuAmExKFyjruw2,10,10,0,0,0,0,0
0PqNmhh5wpiWPZwFbrPo,Speed Soccer Five,published,pro,ChIJ2xTNglV25kcR3UDi4AXGfDU,48.7360598&2.315058,2024-02-20T17:30:00.000Z,90,12,public,false,,,MkTJljXziPXBdRdijccndMLBNCC3,0,10,0,0,0,0,0
0QrB3juYBpZ8t4Xe8ffo,UrbanSoccer - Puteaux,published,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-02-21T19:00:00.000Z,60,15,public,true,Détente,3,MSsRoBP7UWT47YfX6aRHaDxlvY02,8,10,0,0,0,0,0
0eupwJGan4jPxaPrtK3I,,canceled,pro,,,2024-02-20T20:30:00.000Z,60,10,public,false,,,tNI5PAPgX0MDq6T4GlwP3d2ndaO2,0,10,0,0,0,0,0
0plupfeRAchvImuWJgwj,Top Ten,published,captain,ChIJfXprBx4b5kcRmhe-5pLZUek,48.8729106&2.6840919,2024-02-20T18:30:00.000Z,90,15,public,false,Détente,,Bo4seHK6ubTPXJNvOxlyb4HDg9i2,5,10,0,0,0,0,0
1KDSLrVZYEpRd7YJBEVN,LE FIVE Bobigny,published,captain,ChIJV8UONORs5kcRXxR5Qd7x130,48.901553&2.4313304,2024-02-20T20:00:00.000Z,60,10,public,false,Détente,2,CUq43EbnBrbb4MabFyW9Fsb3lzw2,8,10,0,0,0,0,0
1MxYlh7D5LPlFuZU7jvv,UrbanSoccer - Puteaux,published,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-02-20T17:00:00.000Z,60,14.5,public,true,Détente,1,K8Hq8P0aAQXTmzrpM9Vo9zkkmOl1,10,10,0,0,0,0,0
1ZpWo6nVRLSc1pyEazli,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-02-20T11:30:00.000Z,60,10,public,true,Détente,3,GvrW3YWykKMMTYVExyRi5nh54mZ2,10,10,0,0,0,0,0
2P3NsEYmLSKRM6oWj1Y4,UrbanSoccer - Lille Lezennes,canceled,captain,ChIJR3ro5nTWwkcRfM_S3Be9HjI,50.6162725&3.0998108,2024-02-21T18:00:00.000Z,60,10,public,true,Chill,,b0WW4AbIGBNJ6rJhMJSzcmSTFzu2,5,10,0,0,0,0,0
2kXa0XFU2UqUKeX0Pq2i,Le Street Foot en Salle,published,captain,ChIJt_AXL6Jg5kcRu6rBmnrmeUM,49.0164435&2.181307,2024-02-20T20:00:00.000Z,120,16,public,false,Détente,2,J1lWYnAktaNFmD4X4c6r2mZyk443,9,12,0,0,0,0,1
3nLv1eWbP9VlvcQBJpFe,Stadium Thiais,published,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511137&2.3715422,2024-02-21T16:00:00.000Z,120,10,public,false,Détente,3,Dohg1zNvhsbmGrYuAmExKFyjruw2,3,10,0,0,0,0,0
41CAYvfzgM6BvgzfVL5i,Footbox,published,pro,ChIJY-WkusIR5kcR-tEad3UtaSQ,48.9022789&2.582647,2024-02-20T16:00:00.000Z,60,7,public,false,,,QI89VPazyLhBVnWH871jk4BUEZI3,0,10,0,0,0,0,0
47zlzKyAgzbzTLwKjxup,LE FIVE Villette,published,captain,ChIJTUFnQjps5kcR0pHITLTw1PI,48.9070122&2.3861459,2024-02-21T11:00:00.000Z,60,7,public,false,Détente,4,mhT59AVfAcbz8MNwdiRo05xPxc92,9,10,0,0,0,0,0
