DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,PRICE_UNDISCOUNTED,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED,PAYMENT_TYPE
T1NMkQaBYdkjgzZJ2sLn,LE FIVE Paris 13,played,captain,ChIJ_bOSChhz5kcRZMTeq_6Gdzg,48.8181615&2.3658793,2025-01-31T22:00:00.000Z,60,5,14,public,true,Détente,1,mUfrKt3hV5SUbjurb9DNmIO9zZG3,10,10,0,0,0,0,5,on-site
cCnBsuRr7mpWGrgTEiAO,LE FIVE Champigny,canceled,captain,ChIJsXi1PLYN5kcRTVVDuczgS2s,48.8194084&2.5251846,2025-01-31T22:00:00.000Z,60,11,,public,true,Détente,2,VL6vIUcizUTQsZFYqFAHY6CY9bE2,0,10,0,0,0,0,0,on-site
koKRmzub5mgtuYmtAz1j,LE FIVE Paris 18,played,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2025-01-31T22:00:00.000Z,60,5,,public,true,Compétition,,Er7EcCC9CxMxIku8lkfyHpuxybo1,10,10,5,0,0,2,1,on-site
uN162LPABIrT6OjtfyhH,LE FIVE Paris 18,played,captain,ChIJPVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2025-01-31T22:00:00.000Z,60,14,,public,true,Détente,2,xGGv69sq68XIgWzHOBDeseQYNSQ2,10,10,0,0,0,0,1,on-site
tdGJEXeGiEW13U9BO9sh,Foot POWER 5,published,pro,ChIJuTCIFshm5kcRBtEQJ76dAzc,48.960066&2.2061913,2025-01-31T22:15:00.000Z,90,10,12,public,false,,,sss3dYi6nzWd7rEjwcQ30LGKudj1,0,10,0,0,0,0,2,on-site
938y4cEWperXH2XuY1G2,Top Ten,canceled,pro,ChIJfXprBx4b5kcRmhe-5pLZUek,48.8729106&2.6840919,2025-01-31T22:30:00.000Z,60,11,,public,false,,,i27253AGxOfXgYJK72sBnvUGuMk2,0,10,0,0,0,0,1,on-site
rg02d6Y37YuJ5utqFa5a,Foot-Max Argenteuil,published,pro,ChIJi9oIzaRm5kcRJYcK7QsdRMU,48.9501632&2.2093946,2025-01-31T22:30:00.000Z,90,12,,public,false,,,SuEnyPZ4TgNIkt1yap2yJ3ZHO6p1,3,10,0,0,0,0,0,on-site
H4obCwi4OTwqjUsQYg6Q,LE FIVE Sarcelles,published,captain,ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q,48.99782219999999&2.3902225,2025-01-31T22:55:00.000Z,120,13,,public,false,Détente,3,SlfqKcSGOLV6seNnVP9K5mWEfUn2,8,10,0,0,0,0,0,on-site
5rWrYaeadbkhfLgceg8J,GINGA STADIUM,published,pro,ChIJyfJZiyPaVA0RlY6_mDcql7U,44.81810309999999&-0.678014,2025-02-01T08:00:00.000Z,60,9,,public,false,,,VPHAFtSRRYcwTny1RJ6G8RvLYgo1,0,10,0,0,0,0,0,on-site
Blk1AG9oWVxkeBAL5WRj,LE FIVE Orléans Fleury,published,pro,ChIJsYfwe3n75EcRnjpH9sw356Q,47.9415754&1.9358176,2025-02-01T08:00:00.000Z,60,9.5,,public,false,,,aK807pAjR0fYf1xp6STGgehCREy2,0,10,0,0,0,0,0,on-site
gGKwOtaFaOPxu1FWsWQv,Abd Drive,played,captain,ChIJCVBWxGht5kcRclC3u2EvPKs,48.86598919999999&2.4308229,2025-02-01T08:00:00.000Z,150,,,public,false,Compétition,4,i0E2h7DylAZZa74nZXgURaHFPkl1,12,12,11,0,0,0,4,on-site
BVSyhiB0N5U7fHAdjJt6,LE FIVE Marville - La Courneuve,published,pro,ChIJ2dHdMZxr5kcR0aKYHYsp0pY,48.9361223&2.3872592,2025-02-01T08:10:00.000Z,60,10,,public,false,,,1GfAHFfqO6dOj37bPrTRuDS5gnk1,0,10,0,0,0,0,0,on-site
8COsPnqT253ef53hdCNP,LE FIVE Paris 18,played,pro,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2025-02-01T08:30:00.000Z,60,7,13,public,false,,,UQf33jQhVZhle917nO0h7D5qclV2,10,10,9,0,0,0,4,in-app
heyClVA3GgrtKFmHdlTG,LE FIVE Paris 18,published,pro,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2025-02-01T08:30:00.000Z,90,12,19.5,public,false,,,UQf33jQhVZhle917nO0h7D5qclV2,1,10,0,0,0,0,3,on-site
lW7rxz4Yy3SdI1sJXf2C,Stade de la grenouillère,published,captain,ChIJ72-ON8135kcR__Ke_xtObCM,48.763303&2.2958683,2025-02-01T08:30:00.000Z,120,,,public,false,Compétition,5,no9aGJapofRRjh3FuL3nyou2xXH3,15,16,0,0,0,0,9,on-site
qgg8NhvIrLsNlsVMEhXj,LE FIVE Paris 18,played,pro,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2025-02-01T08:30:00.000Z,90,12,19.5,public,false,,,UQf33jQhVZhle917nO0h7D5qclV2,10,10,9,0,0,0,4,on-site
L4s3GvGeRQhvlx5sS5j8,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2025-02-01T08:45:00.000Z,60,13.5,,public,true,,2,bh5uZGTtbtc4lyjFgcOGnmgK6932,10,10,0,1,0,0,1,on-site
MfOGpAFWuaLmucU9Pfba,UrbanSoccer La Défense,canceled,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2025-02-01T08:45:00.000Z,60,13.5,,public,true,Détente,2,qhtMnR1b4vYKAVQwYgv5Ku46FQw1,0,10,0,0,0,0,0,on-site
ErbfEtoWrlIxQQEfIJCz,Game 13 foot indoor,canceled,pro,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2025-02-01T09:00:00.000Z,60,10,,public,false,,,4CPt9QJ6GEQgrpyTuzm8CMK844V2,5,10,0,0,0,0,0,on-site
OGgTnviA7Gmo3ze1nACc,LE FIVE Villette,canceled,pro,ChIJTUFnQjps5kcR0pHITLTw1PI,48.9070122&2.3861459,2025-02-01T09:00:00.000Z,60,10,,public,false,,,IzKPWsB4aacK86ccCoYIsIi4bEH3,0,10,0,0,0,0,1,in-app
PBn3SKZdIb2N41OXPBwy,Terrain Multisport de Gency,played,captain,ChIJLZ52tFD15kcRTl4rePP_-cQ,49.0450879&2.0458918,2025-02-01T09:00:00.000Z,120,,,public,false,Compétition,,5TGyadVTFcbQPJKPOGh89EbTBjW2,18,18,2,0,0,0,2,on-site
YerduXoLrsw2EAWjdlfR,Gymnase Villaine,played,captain,ChIJN0BwKDN45kcRLPonJWhXfR4,48.7367208&2.2534975,2025-02-01T09:00:00.000Z,120,,,public,false,Détente,2,db6h3JkJPKaC5nQq6huDfBnsZOG3,12,12,0,0,0,0,1,on-site
aQkHtfKUnPXmDBtsamt2,Sport dans la Ville Pantin,published,pro,ChIJ39q_xupt5kcRazzdqWLF2s4,48.9055187&2.4070918,2025-02-01T09:00:00.000Z,60,7,7.5,public,false,,,3MO0SZWs09f6yKRmyAM4svj9mjF2,0,10,0,0,0,0,0,on-site
iVkkZwbFzQPdiMCvsP7i,Sport dans la Ville Pantin,published,pro,ChIJ39q_xupt5kcRazzdqWLF2s4,48.9055187&2.4070918,2025-02-01T09:00:00.000Z,60,7,7.5,public,false,,,3MO0SZWs09f6yKRmyAM4svj9mjF2,0,14,0,0,0,0,0,on-site
je1FXmk6zVq4OUP07A6w,LE FIVE Orléans Ingré,published,pro,ChIJzUFPDv_v5EcRG6gmhm_t_HA,47.9057474&1.8536754,2025-02-01T09:00:00.000Z,60,9.5,,public,false,,,MPZxHmcILxgz4kEOK1s2K6T7BiC3,0,10,0,0,0,0,0,on-site
uYiyPfBjGKiUJ83qVAEr,UrbanSoccer Orsay,published,captain,ChIJpZIJg7J45kcRrKWKhtbfnEQ,48.70829&2.17794,2025-02-01T09:00:00.000Z,120,9,,public,true,Détente,3,QwYarSqCnAZIWOnSW3M8AZj1o8x1,4,10,0,0,0,0,3,on-site
xGIT86HJy8HeA45zSKDd,GINGA STADIUM,published,pro,ChIJyfJZiyPaVA0RlY6_mDcql7U,44.81810309999999&-0.678014,2025-02-01T09:00:00.000Z,60,9,,public,false,,,VPHAFtSRRYcwTny1RJ6G8RvLYgo1,0,10,0,0,0,0,0,on-site
